# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
18.2          	2.7358540e-02	5.9818640e-03	9.2263470e-03	9.2264130e-03
18.3          	2.7353790e-02	5.9869850e-03	9.2393430e-03	9.2392760e-03
18.4          	2.7308470e-02	5.9879020e-03	9.2559390e-03	9.2560090e-03
18.5          	2.7543760e-02	5.9881940e-03	9.2707870e-03	9.2707310e-03
18.6          	2.7518940e-02	5.9874710e-03	9.2822620e-03	9.2823150e-03
18.7          	2.7698820e-02	5.9922360e-03	9.2934480e-03	9.2934080e-03
18.8          	2.7443570e-02	5.9968850e-03	9.3055220e-03	9.3055670e-03
18.9          	2.7698650e-02	6.0027990e-03	9.3149380e-03	9.3148970e-03
19            	2.7780480e-02	6.0080560e-03	9.3292260e-03	9.3292620e-03
19.1          	2.7935460e-02	6.0112210e-03	9.3394110e-03	9.3393800e-03
19.2          	2.7781990e-02	6.0115880e-03	9.3476480e-03	9.3476670e-03
19.3          	2.7845610e-02	6.0122060e-03	9.3608360e-03	9.3608050e-03
19.4          	2.7820390e-02	6.0135140e-03	9.3764200e-03	9.3764710e-03
19.5          	2.7955380e-02	6.0138570e-03	9.3873710e-03	9.3873200e-03
19.6          	2.7815030e-02	6.0153610e-03	9.3980440e-03	9.3981010e-03
19.7          	2.8229210e-02	6.0227840e-03	9.4064850e-03	9.4064250e-03
19.8          	2.7912720e-02	6.0310830e-03	9.4167060e-03	9.4167560e-03
19.9          	2.8203040e-02	6.0362900e-03	9.4268060e-03	9.4267850e-03
20            	2.8146980e-02	6.0420060e-03	9.4412900e-03	9.4412900e-03
20.1          	2.8271400e-02	6.0464480e-03	9.4535290e-03	9.4535310e-03
20.2          	2.8374950e-02	6.0498060e-03	9.4698400e-03	9.4698310e-03
20.3          	2.8531310e-02	6.0561630e-03	9.4879540e-03	9.4879640e-03
20.4          	2.8582190e-02	6.0609290e-03	9.5081840e-03	9.5081710e-03
20.5          	2.8478860e-02	6.0652060e-03	9.5246280e-03	9.5246480e-03
20.6          	2.8605900e-02	6.0713900e-03	9.5375050e-03	9.5374870e-03
20.7          	2.8683850e-02	6.0795150e-03	9.5509500e-03	9.5509650e-03
20.8          	2.8722060e-02	6.0838140e-03	9.5640840e-03	9.5640780e-03
20.9          	2.8895610e-02	6.0881860e-03	9.5795170e-03	9.5795160e-03
21            	2.9095520e-02	6.0967960e-03	9.5968810e-03	9.5968870e-03
21.1          	2.9054230e-02	6.1039760e-03	9.6109850e-03	9.6109770e-03
21.2          	2.9252560e-02	6.1114370e-03	9.6225850e-03	9.6225930e-03
21.3          	2.9427080e-02	6.1153790e-03	9.6385040e-03	9.6384960e-03
21.4          	2.9295540e-02	6.1204570e-03	9.6556010e-03	9.6556070e-03
21.5          	2.9361500e-02	6.1309130e-03	9.6688840e-03	9.6688790e-03
21.6          	2.9377910e-02	6.1414060e-03	9.6819240e-03	9.6819280e-03
21.7          	2.9727550e-02	6.1493630e-03	9.6916550e-03	9.6916470e-03
21.8          	2.9637010e-02	6.1531030e-03	9.7034790e-03	9.7034830e-03
21.9          	2.9492920e-02	6.1567450e-03	9.7190270e-03	9.7190270e-03
22            	2.9658180e-02	6.1657780e-03	9.7376520e-03	9.7376450e-03
22.1          	2.9659960e-02	6.1755840e-03	9.7553840e-03	9.7553890e-03
22.2          	2.9700490e-02	6.1852250e-03	9.7712560e-03	9.7712480e-03
22.3          	2.9806460e-02	6.1966900e-03	9.7882710e-03	9.7882810e-03
22.4          	2.9726820e-02	6.2080590e-03	9.8030230e-03	9.8030080e-03
22.5          	2.9700090e-02	6.2169460e-03	9.8167890e-03	9.8168000e-03
22.6          	2.9921770e-02	6.2228290e-03	9.8271030e-03	9.8270950e-03
22.7          	2.9901640e-02	6.2285040e-03	9.8401830e-03	9.8401890e-03
22.8          	2.9925990e-02	6.2320640e-03	9.8532560e-03	9.8532460e-03
22.9          	3.0000230e-02	6.2385140e-03	9.8709780e-03	9.8709860e-03
23            	3.0133640e-02	6.2420560e-03	9.8895680e-03	9.8895620e-03
23.1          	3.0225010e-02	6.2473750e-03	9.9078940e-03	9.9079010e-03
23.2          	3.0068700e-02	6.2542940e-03	9.9236050e-03	9.9235960e-03
23.3          	3.0281620e-02	6.2632630e-03	9.9408820e-03	9.9408840e-03
23.4          	3.0159330e-02	6.2722970e-03	9.9568150e-03	9.9568080e-03
23.5          	3.0351080e-02	6.2813760e-03	9.9686900e-03	9.9686880e-03
23.6          	3.0470350e-02	6.2939700e-03	9.9816040e-03	9.9816030e-03
23.7          	3.0333210e-02	6.3039400e-03	9.9996260e-03	9.9996220e-03
23.8          	3.0483140e-02	6.3134830e-03	1.0022440e-02	1.0022440e-02
23.9          	3.0643560e-02	6.3233030e-03	1.0046510e-02	1.0046500e-02
24            	3.0760470e-02	6.3309620e-03	1.0063540e-02	1.0063540e-02
24.1          	3.0826630e-02	6.3388880e-03	1.0082060e-02	1.0082060e-02
24.2          	3.0944770e-02	6.3454220e-03	1.0101250e-02	1.0101230e-02
24.3          	3.1040840e-02	6.3531270e-03	1.0121680e-02	1.0121680e-02
24.4          	3.1097660e-02	6.3649750e-03	1.0146340e-02	1.0146350e-02
24.5          	3.1085410e-02	6.3774630e-03	1.0173890e-02	1.0173870e-02
24.6          	3.0865630e-02	6.3875920e-03	1.0199820e-02	1.0199840e-02
24.7          	3.0865120e-02	6.3991480e-03	1.0221840e-02	1.0221820e-02
24.8          	3.1022070e-02	6.4088810e-03	1.0240590e-02	1.0240620e-02
24.9          	3.1177290e-02	6.4150360e-03	1.0258810e-02	1.0258780e-02
25            	3.1179710e-02	6.4236330e-03	1.0276920e-02	1.0276950e-02
25.1          	3.1155870e-02	6.4363310e-03	1.0296640e-02	1.0296610e-02
25.2          	3.1508260e-02	6.4493830e-03	1.0317920e-02	1.0317950e-02
25.3          	3.1585470e-02	6.4636130e-03	1.0343440e-02	1.0343400e-02
25.4          	3.1573570e-02	6.4745240e-03	1.0366470e-02	1.0366510e-02
25.5          	3.1491730e-02	6.4876730e-03	1.0387570e-02	1.0387540e-02
25.6          	3.1558110e-02	6.5027310e-03	1.0409890e-02	1.0409910e-02
25.7          	3.1436730e-02	6.5154040e-03	1.0435040e-02	1.0435010e-02
25.8          	3.1775100e-02	6.5261470e-03	1.0460490e-02	1.0460540e-02
25.9          	3.1752620e-02	6.5405130e-03	1.0485300e-02	1.0485250e-02
26            	3.1844080e-02	6.5508900e-03	1.0506050e-02	1.0506100e-02
26.1          	3.1689830e-02	6.5586190e-03	1.0530830e-02	1.0530790e-02
26.2          	3.1921240e-02	6.5691040e-03	1.0555450e-02	1.0555460e-02
26.3          	3.2253530e-02	6.5785350e-03	1.0579480e-02	1.0579480e-02
26.4          	3.2072520e-02	6.5872680e-03	1.0599420e-02	1.0599420e-02
26.5          	3.2094860e-02	6.5991910e-03	1.0621990e-02	1.0621990e-02
26.6          	3.2247860e-02	6.6107550e-03	1.0641820e-02	1.0641830e-02
26.7          	3.2382960e-02	6.6211440e-03	1.0664160e-02	1.0664150e-02
26.8          	3.2255010e-02	6.6299630e-03	1.0688010e-02	1.0688020e-02
26.9          	3.2465640e-02	6.6371410e-03	1.0711330e-02	1.0711320e-02
27            	3.2613980e-02	6.6491660e-03	1.0734850e-02	1.0734850e-02
27.1          	3.2682950e-02	6.6597620e-03	1.0762100e-02	1.0762100e-02
27.2          	3.2746120e-02	6.6717250e-03	1.0787590e-02	1.0787590e-02
27.3          	3.2629150e-02	6.6825340e-03	1.0813970e-02	1.0813980e-02
27.4          	3.2743660e-02	6.6935770e-03	1.0840220e-02	1.0840240e-02
27.5          	3.3050040e-02	6.7036270e-03	1.0866110e-02	1.0866080e-02
27.6          	3.3149840e-02	6.7186270e-03	1.0890180e-02	1.0890200e-02
27.7          	3.3210980e-02	6.7328150e-03	1.0914520e-02	1.0914500e-02
27.8          	3.3219380e-02	6.7471370e-03	1.0934040e-02	1.0934040e-02
27.9          	3.3419450e-02	6.7586940e-03	1.0954840e-02	1.0954850e-02
28            	3.3399560e-02	6.7668160e-03	1.0978630e-02	1.0978620e-02
28.1          	3.3171770e-02	6.7730360e-03	1.1010520e-02	1.1010530e-02
28.2          	3.3064460e-02	6.7817020e-03	1.1039690e-02	1.1039680e-02
28.3          	3.3256000e-02	6.7900080e-03	1.1065180e-02	1.1065190e-02
